SupplyDemandRatio,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0.6,10,7.007,0.0127847774903792,0.57149,0.00236368261623456,0.23961,0.0141236679218314,0.10734,0.114500885074386,0.88426,0.0122070137227735,0.24392,0.0126608825271132,0.23297,0.0117630067161105
0.65,10,7.566,0.012959589312228,0.61899,0.00279671091518979,0.20167,0.0152661548740975,0.14717,0.05063541129332,0.84655,0.00693032215034067,0.22188,0.0140875594278143,0.21598,0.0139966968506248
0.7,10,8.18,0.0116511105970557,0.66647,0.00333242095794559,0.172,0.0165579294037708,0.18705,0.135000754631496,0.8058,0.0304650240327959,0.20401,0.0150960798121648,0.19903,0.0147563522853555
0.75,10,8.913,0.0134604981509292,0.71147,0.00301585491967189,0.1459,0.0214755078494241,0.33371,0.0596783307993713,0.66444,0.0302630587661298,0.18458,0.0178070843430714,0.17219,0.0161552103553988
0.8,10,10.065,0.0122586360568487,0.75355,0.00338738089751379,0.1307,0.0171973570167482,0.38468,0.0446354391019589,0.61247,0.0283806596275801,0.1776,0.0151130579097762,0.1629,0.0127346519234242
0.85,10,11.455,0.00856756468515004,0.7945,0.00291686114613575,0.109,0.0260620243055939,0.40329,0.0467666788057952,0.59641,0.0316612087920602,0.15797,0.0275917804756356,0.14604,0.00931596096743378
0.9,10,12.723,0.00975404089973195,0.83548,0.00321771635943011,0.0814,0.0283905482719678,0.42569,0.0506690595236928,0.57377,0.0379410500224343,0.12558,0.0284124662248951,0.12354,0.0220410423646316
0.95,10,14.061,0.0073037549405373,0.87652,0.00294978967048538,0.05625,0.0402558489815962,0.48576,0.0459268345814854,0.51424,0.0433832824484722,0.09408,0.0311399296089343,0.0958,0.0201292799978687
1,10,15.476,0.0117875392537457,0.91387,0.00298486882533282,0.03495,0.0544824397047257,0.60218,0.0400623990271776,0.39782,0.0606424399129903,0.06374,0.0488423891580168,0.06284,0.0524273803168782
1.05,10,17.488,0.0115653561563939,0.94237,0.00247554120830382,0.02804,0.0550216698461379,0.64776,0.0511064777324402,0.35224,0.0939834545081917,0.05447,0.0485884511313333,0.05042,0.0291755345824384
1.1,10,19.692,0.010871728551603,0.96268,0.00177824712792997,0.01999,0.0557999555053893,0.75237,0.0717263426437912,0.24763,0.217924921919433,0.03753,0.06425076223846,0.03761,0.0493200206742551
1.15,10,21.327,0.0106622932971508,0.97233,0.00181446016864562,0.01641,0.0755495298420529,0.76659,0.0773557874862323,0.23341,0.254060122227286,0.03226,0.07079093083872,0.03412,0.062157945115961
1.2,10,22.072,0.00812661475973386,0.97567,0.00142460327270176,0.0154,0.0681434235330079,0.76837,0.0781841757997343,0.23163,0.259354898584993,0.03124,0.0655572927773789,0.03314,0.0631733200347512
