parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
2,250,0.2304048,0.000848589972694217,0.00368303947094078,0.2418568,0.000592170397911204,0.00244843394070873,0.05939,0.000269714126690736,0.00454140641001407
2.5,250,0.3613776,0.0012468921067239,0.00345038570936302,0.2904336,0.000704995287720342,0.00242738886864447,0.0704736,0.000311907566155675,0.00442587814664888
3,250,0.5177036,0.0017042743834052,0.00329198866572533,0.3360168,0.000802682714839476,0.00238881721044744,0.0809468,0.000349775090318469,0.00432104901390134
3.5,250,0.6969352,0.00220099378332075,0.00315810391456875,0.3782216,0.000901077022857036,0.00238240497860787,0.090482,0.00039205580486317,0.00433297014724663
4,250,0.9011208,0.00277737801163449,0.00308213728018984,0.417788,0.000984591982885015,0.00235667846583678,0.0994184,0.000431525853715994,0.00434050290203819
4.5,250,1.130392,0.00337403843446922,0.00298483927210138,0.4548208,0.00105830063502631,0.00232685188326108,0.1078076,0.000474254067494287,0.00439907824211175
5,250,1.3833972,0.00397260161565418,0.00287162762484569,0.489058,0.00112147842558769,0.00229313992530065,0.1154704,0.000512378986867837,0.00443731888750569
5.5,250,1.6608168,0.00464354798577943,0.00279594232535427,0.5207656,0.00117741507571245,0.00226093097491933,0.1224572,0.000544511956785297,0.00444654913541463
6,250,1.9649224,0.00545031029237269,0.00277380434584729,0.5505192,0.00122965414114279,0.00223362625888942,0.1289684,0.000580387822021984,0.0045002327858761
6.5,250,2.2875144,0.00625521673152519,0.00273450376160482,0.5774468,0.0012736768027784,0.00220570414933185,0.1343584,0.000608042793069395,0.0045255286835017
7,250,2.63588,0.00708255678338093,0.00268697997760935,0.6026136,0.00131285428488466,0.00217860049106867,0.1391568,0.000628216243524614,0.00451444876229271
7.5,250,3.0057532,0.0078502142442076,0.00261172948071971,0.6258488,0.00134304965406553,0.00214596505428392,0.1432112,0.000645519431721232,0.0045074647214829
8,250,3.3948168,0.00857953681742514,0.00252724589362971,0.6472576,0.00136559001880453,0.00210980916841229,0.146546,0.000656827164683882,0.00448205454044383
8.5,250,3.8038968,0.00936742340138136,0.00246258610417122,0.6672352,0.00138989395134437,0.00208306448961981,0.1492964,0.000668908909307733,0.00448040883308461
