DemandParameter,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0,10,7.622,0.0062496883095905,0.87627,0.00214983186179062,0.04808,0.0238383638540173,0.3794,0.134612433284373,0.61307,0.0813540190114644,0.08166,0.0235012290958678,0.09416,0.0222989745217081
0.1,10,7.591,0.00586834446232157,0.8754,0.00217076822493399,0.04814,0.0338918840650015,0.37327,0.134233443568148,0.61907,0.0822577279500852,0.08155,0.0299701933311825,0.09406,0.0220399229905082
0.2,10,7.586,0.00670658718244244,0.87389,0.00218898066673836,0.04999,0.0298623765454579,0.36752,0.134151820223111,0.62504,0.0780760601345415,0.08363,0.0276247870559699,0.09565,0.0178672307124416
0.3,10,7.612,0.00692829824809892,0.87179,0.00239213994678452,0.05374,0.0331883172671508,0.36826,0.133974476540039,0.62781,0.0779897576671562,0.08904,0.0285319402223079,0.0998,0.0166490432297465
0.4,10,7.619,0.00582157098168397,0.86982,0.00251096611392427,0.05509,0.0300463933996743,0.37027,0.13366569241041,0.6257,0.080148688264413,0.09038,0.0265793527444098,0.103,0.0174842592146083
0.5,10,7.652,0.0059374915064295,0.86778,0.00263374246964531,0.05877,0.0337995908715126,0.37296,0.132670424385285,0.62453,0.079967607063453,0.09585,0.0327819821756554,0.10716,0.0160340104667346
0.6,10,7.7,0.00688267144410728,0.86563,0.00247600221525444,0.06092,0.0221858724276316,0.37724,0.133285251404353,0.62085,0.081655482238583,0.09878,0.018925357996901,0.11019,0.0128771859818738
0.7,10,7.765,0.00631036703155183,0.86267,0.00257763411033962,0.06213,0.0319405611491803,0.37924,0.130391995650739,0.61872,0.0803694066140188,0.10036,0.0318229475956555,0.11198,0.0241993678702605
0.8,10,7.847,0.00698631778153253,0.86007,0.00255331104840218,0.06393,0.0293356930852588,0.38492,0.130610425621938,0.61272,0.0832284893033823,0.10216,0.0255395059740235,0.11174,0.0193623555588357
0.9,10,7.917,0.00706088885137286,0.85754,0.00295565984234056,0.06577,0.0360414754092947,0.38798,0.12801062661731,0.60957,0.0809887697678396,0.1046,0.0346121755754905,0.11403,0.0159111664295493
1,10,8.002,0.00791421371305947,0.85451,0.00294899400076575,0.06683,0.0273696192314078,0.39101,0.12310561687323,0.60621,0.080143871158484,0.10587,0.02447372267135,0.11592,0.0176126988727714
