DemandParameter,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0,10,9.215,0.00698453096283638,0.8674,0.00192178984024743,0.05596,0.0514527460143057,0.54262,0.0686178925816571,0.45738,0.0814059225865993,0.089,0.0645283062935936,0.08706,0.031783960020794
0.1,10,9.209,0.00697610684851424,0.86612,0.00205635415233299,0.05634,0.0504409352941951,0.54179,0.0651738079897027,0.45821,0.0770618655872657,0.08958,0.0624902150357488,0.08713,0.0296807772736818
0.2,10,9.235,0.00700521898287052,0.86481,0.00213181613398354,0.05694,0.0498460696793539,0.53733,0.0561270235542339,0.46267,0.0651841130101291,0.09018,0.060432671214693,0.08759,0.029465294440544
0.3,10,9.29,0.00781225988975033,0.86318,0.00210077872099952,0.05794,0.0441099028045737,0.53973,0.0474664173965124,0.46027,0.0556609152484838,0.09136,0.0535158028750982,0.08916,0.0305523492508387
0.4,10,9.397,0.00818545587182492,0.86061,0.0019510192382922,0.05996,0.0442367708447615,0.5259,0.049986615093685,0.4741,0.0554481351566525,0.09445,0.0519670759145416,0.09339,0.0488897006512327
0.5,10,9.57,0.00931564043265615,0.85713,0.00205973813033224,0.06286,0.038621765225537,0.52118,0.0426538410354612,0.47882,0.0464273189734382,0.09834,0.0435875985133839,0.09799,0.0494881108820424
0.6,10,9.812,0.0105018920827827,0.85296,0.0022639790646423,0.06665,0.0399388216531632,0.50579,0.0466419334587861,0.49421,0.0477348162200672,0.10369,0.0429543522371102,0.10451,0.0454699961896157
0.7,10,10.106,0.0103364147511681,0.84817,0.00242635146032099,0.07101,0.0366789487032679,0.47003,0.0652383684655921,0.52997,0.0578598606145296,0.10976,0.0405148624782641,0.11166,0.0346493561422521
0.8,10,10.388,0.00986359241263664,0.84329,0.0026553361138084,0.07529,0.0309886028862565,0.43911,0.0648684749250399,0.56089,0.0507842821664396,0.1155,0.0318962096011376,0.1174,0.0217762292504126
0.9,10,10.638,0.00864535492519767,0.8385,0.0031012498349836,0.07863,0.0328010241638982,0.42445,0.0688408006884344,0.57555,0.0507679225996108,0.11955,0.0323099870014924,0.12032,0.0220804018191628
1,10,10.853,0.00860668845670898,0.83452,0.00328098946672103,0.08186,0.0326742227866861,0.41183,0.0691409154283064,0.58817,0.0484116891389214,0.12364,0.0320676582033032,0.12313,0.0236759632846087
