DemandParameter,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0,10,10.113,0.0109294224086604,0.86674,0.00253683326828758,0.04838,0.0454544326232508,0.49829,0.0874124180132892,0.50171,0.0868165549258374,0.08244,0.0566323332468096,0.09284,0.0616461636416905
0.1,10,10.037,0.0107315785258553,0.86614,0.0026206411262963,0.04932,0.0442840337634553,0.43403,0.0936099793277058,0.56597,0.071787443376158,0.08822,0.0516767016143362,0.10189,0.0551626636726687
0.2,10,10.001,0.0116437577603121,0.86507,0.00269970746027391,0.04957,0.0379486020837086,0.43111,0.0871541434395612,0.56889,0.0660462001058715,0.0886,0.0371577620652113,0.10215,0.0470432248285732
0.3,10,10.013,0.011734033470124,0.86372,0.00287633840548449,0.04913,0.0402122650026005,0.47496,0.0634266702042139,0.52487,0.0574266357134297,0.08449,0.0319509043289021,0.09581,0.0343404757281409
0.4,10,10.075,0.0118450071283193,0.86221,0.00304145686900755,0.04893,0.0462851172098908,0.54214,0.0465172395214802,0.45759,0.0551296214609374,0.0802,0.0382425231023583,0.08825,0.0353254182522034
0.5,10,10.157,0.0112301089505889,0.86027,0.0031399530810253,0.05039,0.0455916975040074,0.55315,0.063541996853809,0.44659,0.0788761522169949,0.08045,0.0416872453531811,0.08571,0.0389580660718973
0.6,10,10.285,0.0111382707179011,0.85805,0.00293659063188542,0.05433,0.0397127397157232,0.52294,0.0502448389667782,0.47681,0.0550384584736873,0.08651,0.0341877260323407,0.09066,0.0243064497062012
0.7,10,10.473,0.0119639745197545,0.85532,0.00290197403340655,0.05956,0.0390890062108999,0.48294,0.0593722598914385,0.51673,0.0553528023370681,0.09473,0.0329029139951344,0.09795,0.0170713395980284
0.8,10,10.72,0.012716987477415,0.85203,0.00277153060122291,0.06486,0.0361343418004654,0.45827,0.0568104896487029,0.54136,0.0480764944072035,0.10244,0.0311741869362643,0.10436,0.0105025233862274
0.9,10,11.005,0.0126501772212181,0.84837,0.00266060705491906,0.06991,0.0327739396516824,0.44252,0.0534432081063565,0.55713,0.0426904565646219,0.10953,0.0292328429452889,0.1098,0.010520271873673
1,10,11.331,0.0123730474617384,0.84437,0.00254917077699817,0.07479,0.0297252102430011,0.42759,0.0505479368275736,0.5721,0.0379250887407455,0.11656,0.0270120490274951,0.11491,0.0108398488309751
