parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,5,1.06096,0.013538989953464,0.0127610748317222,0.22118,0.00107425166511391,0.00485691140751383,0.02498,0.000324437729002038,0.0129878994796652
1.5,5,1.13374,0.0134195748129365,0.0118365540714242,0.27354,0.00117697959200659,0.00430276958399719,0.03424,0.000418541467479628,0.012223757811905
2,5,1.23342,0.0134721167097083,0.0109225703407665,0.32148,0.00125409371260683,0.00390100072354992,0.0428,0.000356051681641864,0.00831896452434262
2.5,5,1.35828,0.0126777915048324,0.00933370991609416,0.36608,0.00119928938959703,0.00327603089378561,0.0507,0.000463820654995011,0.00914833639043414
3,5,1.50704,0.0118398601748501,0.00785636756479593,0.40826,0.00109233738377848,0.00267559247484073,0.05822,0.000469582623187869,0.00806565824781637
3.5,5,1.67824,0.0112416893107753,0.00669849920796509,0.44734,0.0010345384284791,0.00231264458460924,0.06492,0.000461329210000841,0.00710611845349416
4,5,1.8719,0.0119527864533756,0.00638537659777531,0.48388,0.00104341240168976,0.00215634537837845,0.07128,0.000457146628555874,0.00641339265650777
5,5,2.32764,0.015071699073429,0.00647509884407769,0.54956,0.0012107661045801,0.00220315544177178,0.08246,0.000364581074659671,0.00442130820591403
6,5,2.87884,0.0186202682085946,0.00646797606278732,0.60644,0.00122809289550914,0.00202508557402075,0.0918,0.000629034816206543,0.00685223111336104
7,5,3.5206,0.0249315543999968,0.00708162086007975,0.65428,0.000954984732862259,0.00145959640041306,0.0988,0.000800966416274742,0.00810694753314516
8,5,4.24786,0.036180962941304,0.00851745654077676,0.69444,0.00107282028317888,0.0015448710949526,0.10392,0.00103602270245396,0.00996942554324441
9,5,5.05126,0.0451716263616887,0.00894264527299896,0.72882,0.00113171968260695,0.00155281095827084,0.10724,0.00150881813350715,0.0140695461908537
10,5,5.91624,0.054458154703956,0.00920485894824348,0.75854,0.00149217671875685,0.00196716945547611,0.10886,0.0018403137123871,0.0169053253021046
11,5,6.83612,0.0635628755472876,0.00929809241898732,0.78454,0.00176465321239048,0.00224928392738481,0.10908,0.00195056931176516,0.0178820068918698
12,5,7.80802,0.0696239453337715,0.00891697835479052,0.80738,0.00188852890896591,0.00233908309465916,0.10782,0.00189056199052028,0.0175344276620319
13,5,8.831,0.0747503760846727,0.00846454264349142,0.82786,0.0022685253712489,0.0027402282647415,0.10544,0.00177117208650091,0.0167979143256915
14,5,9.89708,0.0783474151650202,0.00791621520337515,0.84664,0.00269854348862492,0.00318735647810749,0.1021,0.00168605575234035,0.0165137683872709
15,5,11.0006,0.0812627440343975,0.00738711925116789,0.86404,0.00299604448565105,0.00346748354896886,0.09792,0.00145410338009373,0.0148499119699114
16,5,12.13152,0.0829899134825435,0.00684085040312702,0.88022,0.00313685738279572,0.00356371973233478,0.09314,0.0012559303165383,0.0134843280710576
17,5,13.27442,0.0782898539265465,0.00589779846701751,0.89538,0.0031091803164178,0.00347247014275257,0.08792,0.00116186842628587,0.0132150639932423
18,5,14.41736,0.0815822447702931,0.00565861189359863,0.90934,0.00299219534121688,0.00329051327470129,0.08246,0.00113036107505522,0.0137079926637791
19,5,15.56632,0.090550841810775,0.00581710011170109,0.92204,0.00286361299061168,0.00310573618347543,0.07706,0.0010976,0.0142434466649364
20,5,16.72498,0.0966926504210115,0.00578133130329671,0.9329,0.00247612471414507,0.00265422308301541,0.07158,0.00108492683624289,0.0151568431998168
21,5,17.89672,0.107744203960306,0.00602033243858685,0.94246,0.00244694048967276,0.00259633352043881,0.06646,0.00124517860566266,0.0187357599407562
22,5,18.99506,0.0895204032573572,0.00471282550607143,0.9503,0.00292887227444284,0.00308205016778159,0.06172,0.00116681748358516,0.0189050143160266
