parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,155,0.758090967741936,0.00799877042523668,0.0105512013275425,0.267358709677419,0.000643100969705251,0.00240538627105577,0.105465161290323,0.00116090906875602,0.0110075123818404
2,155,1.69252322580645,0.0131012770340507,0.00774067784376088,0.465314838709677,0.0012507010629922,0.00268785982940155,0.111950322580645,0.00101507815730584,0.00906721958370962
3,155,2.64655741935484,0.0186493066189023,0.00704662837938674,0.602017419354839,0.00178138142947314,0.00295901974295393,0.125443870967742,0.000860254004732998,0.0068576806351441
4,155,3.78228580645161,0.0245617882215975,0.0064939006406394,0.705435483870968,0.00209302396113886,0.00296699557789994,0.139712258064516,0.00107558558697956,0.00769857707462491
5,155,5.03324129032258,0.0320091101310666,0.00635954214883569,0.778891612903226,0.00221473009869408,0.00284343811385892,0.143643225806452,0.00127609435530752,0.0088837767889379
6,155,5.46389419354839,0.0368288084087794,0.00674039560507336,0.799015483870968,0.00202456189315207,0.00253382060050167,0.138354193548387,0.00128816879416148,0.00931065955518699
7,155,5.65001677419355,0.0375187087676868,0.00664045971315581,0.799657419354839,0.00187354812366801,0.00234293846129707,0.135618064516129,0.00115452818273687,0.00851308553072268
8,155,5.7704735483871,0.0424246816357524,0.00735202774607822,0.799807741935484,0.00182058375007776,0.00227627672829481,0.134323870967742,0.00116193793735056,0.00865027138496924
