parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,400,1.581367,0.00280994566407103,0.00177690925893295,0.3252615,0.000183691876889229,0.000564751367405086,0.0709715,0.000234138141755164,0.00329904457078073
2,400,2.222594,0.00326764627024171,0.00147019485800902,0.47609025,0.000308496208560966,0.000647978421236239,0.06006425,0.000317379588972718,0.00528400153123893
3,400,2.80958925,0.00406150315337807,0.00144558609532624,0.58094525,0.000401982700546425,0.000691945928719487,0.0561875,0.000315105282600605,0.0056081029161398
4,400,3.44319425,0.00501764863512099,0.00145726562918168,0.66667625,0.000475322456062032,0.000712973435099918,0.06415375,0.000326022069065184,0.00508188639113356
5,400,4.128472,0.00574270260524561,0.00139099952845644,0.73466425,0.000518808075240823,0.00070618391359158,0.06809775,0.000333140323990389,0.00489209003220207
6,400,4.84611,0.00654887100649029,0.00135136656132244,0.79009675,0.000541006632953793,0.00068473466439875,0.0674225,0.000348404699396267,0.00516748413951229
7,400,5.55800575,0.00718020792805424,0.00129186766819272,0.83262825,0.000541197134094991,0.000649986514503911,0.06455675,0.000360645478719826,0.00558648752794752
8,400,6.312859,0.00778991248356038,0.00123397536418291,0.8690265,0.000519768501188818,0.000598104316944095,0.061308,0.000373228168696807,0.00608775638899991
9,400,7.0903375,0.00825143346135646,0.0011637575025669,0.89719075,0.000497419720461009,0.000554419136020974,0.057836,0.000385575562376241,0.00666670520741823
10,400,7.8609185,0.00913513946850312,0.00116209568493849,0.91882175,0.000419795048224768,0.000456884099908136,0.05283725,0.000402000783487497,0.00760828361596217
11,400,8.3673735,0.0137055589781903,0.00163797623928109,0.92877325,0.000344777631344377,0.000371218304730866,0.0488285,0.000407434923384069,0.00834420314742557
12,400,8.66147275,0.0169033256573144,0.00195155329182493,0.931417,0.000368216720052628,0.000395329610746452,0.0469365,0.000417225507226849,0.00888914825832453
16,400,9.09754475,0.0201266801752919,0.00221231999713899,0.933195,0.000382298232990121,0.000409665967981098,0.0459255,0.000426471116292275,0.00928615075050407
20,400,9.22814425,0.0207824628302348,0.00225207390209953,0.9344345,0.000383750957043209,0.000410677213911953,0.04490575,0.000440310288823529,0.00980520955163936
24,400,9.37358125,0.0212120991443366,0.00226296637097338,0.936599,0.000381754788827831,0.000407596835815361,0.04396225,0.000451115449604566,0.0102614276931814
28,400,9.62448225,0.0217260392538029,0.00225737226060164,0.939218,0.000384343439912156,0.000409216433152,0.04309875,0.000458868547138101,0.0106469108068819
32,400,9.93355125,0.0219872132371165,0.00221342928462935,0.94144125,0.000392750534244223,0.000417180078145315,0.04221925,0.000462616721265819,0.0109574831685977
36,400,10.30526075,0.021942393629324,0.00212924196307444,0.9431045,0.00039616777074295,0.000420067734533076,0.0413175,0.000465936212974913,0.011276970121012
40,400,10.61317675,0.0218066414699659,0.00205467618071714,0.9437385,0.000398584479174235,0.000422346316457615,0.041036,0.000468198691425586,0.0114094622142896
44,400,10.8752165,0.021859818918316,0.00201005827500684,0.94381475,0.000396024085784,0.000419599381959224,0.04196175,0.000459469697210149,0.0109497267680721
48,400,11.0597115,0.0225878365358326,0.00204235314237922,0.94352875,0.000394233006675787,0.000417828292646925,0.043306,0.0004585042624149,0.0105875458923683
