parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,400,1.0650465,0.0021997822520518,0.00206543306048309,0.2272915,0.000148084974965478,0.000651520074289968,0.022615,8.70904873247138e-05,0.00385100540900791
1.5,400,1.16075325,0.00221780030472467,0.0019106561232757,0.28426275,0.000186170587012076,0.000654924315662451,0.030854,0.000113582474803361,0.00368128848134313
2,400,1.29027525,0.00225057046096076,0.00174425608873824,0.337311,0.000222167911653373,0.000658644134503095,0.03862125,0.000141690494332579,0.00366871849907962
2.5,400,1.45012,0.00230169291014931,0.00158724306274605,0.38711525,0.000256900644652377,0.000663628324258415,0.046121,0.000172360026057251,0.00373712681982721
3,400,1.63843625,0.00236813697476981,0.00144536412373067,0.43442825,0.000289541488203726,0.000666488627762411,0.0534265,0.000206674696725716,0.00386839296464706
3.5,400,1.85287875,0.00246769863148508,0.00133181873421835,0.47912125,0.000322338372459205,0.000672769935500053,0.06051975,0.000244944188906264,0.00404734303935928
4,400,2.09419025,0.00261727696993711,0.00124977994236059,0.52169,0.000353698757741769,0.000677986462730297,0.06696175,0.000282053987344964,0.00421216571169307
5,400,2.6542345,0.00305473246513059,0.00115089019645046,0.599235,0.000407343783424685,0.000679773016303595,0.0761825,0.000319547239184092,0.00419449662565671
6,400,3.323201,0.00365314778799028,0.00109928583555141,0.6676495,0.000451893255964243,0.000676842049554809,0.07965075,0.000327235986828219,0.00410838550582662
7,400,4.10044075,0.00447679680787561,0.0010917842936459,0.7265525,0.000481010531489186,0.000662045112347952,0.07908925,0.000319292018880918,0.00403711021258791
8,400,4.9826175,0.00551768693669762,0.0011073872190064,0.77693525,0.000493194188325699,0.000634794454654618,0.07610225,0.000305829361369111,0.00401866385513058
9,400,5.95571675,0.00664218982658647,0.00111526288193381,0.81928075,0.000492681199284152,0.000601358202648057,0.07178675,0.000301263139956569,0.00419663990857044
10,400,7.01360025,0.00787367928040165,0.00112263017562223,0.85465275,0.000489086864342041,0.000572263839719747,0.06688425,0.00030476115880726,0.00455654595524746
11,400,8.14940875,0.00913235959042436,0.00112061621530818,0.88376625,0.000476684484316114,0.000539378466100187,0.06184925,0.00031543366559584,0.00510004026881231
12,400,9.3594275,0.0104665004040292,0.00111828425446206,0.90731625,0.000448688229243205,0.000494522421750085,0.0569935,0.000333856122314714,0.00585779294682226
13,400,10.471,0.0146204148642508,0.00139627684693447,0.92027875,0.000353096296753027,0.000383684070454769,0.05336425,0.000341563616105944,0.00640060744985535
14,400,11.21259625,0.0190867221204665,0.00170225714855883,0.92373425,0.000370613746615937,0.000401212520393107,0.0520855,0.000350433345134929,0.00672804034011248
15,400,11.9644635,0.0164120283709477,0.00137173124151766,0.9232975,0.000385282542257524,0.000417289705926339,0.0551005,0.000399867278481248,0.00725705353819381
16,400,12.8662565,0.0165539188258934,0.0012866150170326,0.92125025,0.000403171002109657,0.000437634618942743,0.05812475,0.000329925368107778,0.00567615977888555
17,400,13.800849,0.0176230405079276,0.00127695336047279,0.91804725,0.000410552379496851,0.000447201796527195,0.06417825,0.000535919925010077,0.00835049140495538
18,400,14.747333,0.0185990341807899,0.00126117950823989,0.914239,0.000417684605162165,0.000456865879887168,0.079876,0.000706263691762329,0.00884200124896501
19,400,15.69173775,0.0197252860869502,0.00125704918099018,0.910136,0.000415669403792392,0.000456711308850977,0.09143025,0.000530220224582334,0.00579917723709969
20,400,16.5623525,0.0217953982117786,0.00131596029077262,0.9057755,0.000416348049888089,0.000459659209029267,0.09855725,0.000425867315505416,0.00432101459309605
21,400,17.346764,0.0235615236259023,0.00135826622336606,0.90115725,0.000417008875199002,0.000462748177633817,0.1044955,0.000414864594413943,0.00397016708292647
22,400,18.04275,0.0268350005301142,0.00148730102285484,0.89639725,0.00041275530769431,0.000460460256537278,0.11058825,0.000420191467453889,0.00379960318979538
23,400,18.59151825,0.0323279315853805,0.00173885376926548,0.891973,0.000390316026811563,0.000437587266443674,0.11622775,0.000398918740124862,0.00343221597359376
24,400,18.87404575,0.0397501216954481,0.00210607318759138,0.8892875,0.000351099030614221,0.000394809362117674,0.1196235,0.000318580913878593,0.00266319672872465
25,400,18.98097475,0.0421816535338062,0.00222231229372486,0.88950625,0.000342680706650559,0.000385248228048492,0.1191375,0.000274782956454535,0.00230643547543414
