parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1.5,100,0.188999,0.00216333346929635,0.0114462693945277,0.207415,0.00100019327808947,0.00482218392155566,0.05274,0.000514819732302169,0.00976146629317726
2,100,0.337026,0.00334387001275559,0.00992169747365363,0.267503,0.00122852081799967,0.00459254968355373,0.066215,0.000626521397411247,0.00946192550647507
2.5,100,0.520294,0.00461227490356818,0.00886474743811802,0.323787,0.00141454973344163,0.00436876629834315,0.079237,0.000740508432826304,0.0093454880021493
3,100,0.736929,0.00595811884577234,0.00808506497338595,0.377295,0.00158442150332606,0.00419942353682414,0.092056,0.000839426764135785,0.0091186534732748
3.5,100,0.983735,0.00755014711569827,0.00767498067639991,0.427819,0.00173476848716613,0.00405491221092594,0.10454,0.000911240857182106,0.0087166716776555
4,100,1.261964,0.00930311193126909,0.00737193131600353,0.475852,0.00189711964594921,0.00398678506331635,0.115875,0.000934926308768923,0.00806840395917085
4.5,100,1.57001,0.011194356815193,0.00713011816179071,0.520793,0.00202446955167835,0.00388728257038468,0.12531,0.000926119509708454,0.00739062732190929
5,100,1.909893,0.01317761547397,0.00689966164280932,0.56302,0.0021249217555173,0.00377414968476661,0.132554,0.000927576135209451,0.0069977227032715
5.5,100,2.280286,0.0151581696946892,0.00664748619019246,0.602444,0.00221981009020815,0.00368467457590771,0.137772,0.000961464379888272,0.00697866315280515
6,100,2.682429,0.0171248915372262,0.00638409871695624,0.639244,0.00230386916948972,0.0036040528647742,0.141144,0.00102989691012197,0.00729678137307979
6.5,100,3.11484,0.0193653266030717,0.00621711760574273,0.673041,0.00236301011054318,0.0035109452626856,0.142946,0.0010595850888671,0.00741248505636462
7,100,3.57933,0.0219247830898499,0.00612538745794602,0.704361,0.00241936775505628,0.00343484059318486,0.143159,0.00106802460092727,0.00746040836361858
7.5,100,4.071646,0.0245541644841376,0.00603052536594233,0.7331,0.00244244849958629,0.00333167166769375,0.142217,0.00107813517573052,0.00758091631612619
8,100,4.591787,0.0272304618905709,0.00593025370962784,0.75964,0.00244677714489237,0.00322096933401661,0.140328,0.00113416203296807,0.00808222188706508
8.5,100,5.136596,0.0304438625866113,0.005926855564777,0.783861,0.00243642595595526,0.00310823724608734,0.1374,0.00117288759853103,0.00853629984374838
9,100,5.705625,0.0340921981771119,0.0059751908295957,0.806181,0.00242312884482235,0.00300568835636458,0.133623,0.00121129113230803,0.00906498980196549
9.5,100,6.295966,0.0379592195292341,0.00602913350059929,0.826415,0.00239658381742417,0.00289997618318177,0.129404,0.00125721162677128,0.00971540003996229
10,100,6.908721,0.0418745570062302,0.00606111565458067,0.844932,0.00236300811533678,0.00279668436671446,0.124728,0.00132246228024955,0.0106027698692318
10.5,100,7.541597,0.0458090177042528,0.00607418000514384,0.861712,0.00234663073063393,0.00272321927817407,0.119983,0.0013988271682529,0.0116585446959394
11,100,8.194312,0.0494366577458192,0.00603304557427387,0.876971,0.00233811742853955,0.00266612855902824,0.115166,0.00146939991953838,0.0127589733040861
11.5,100,8.867208,0.0529447580848645,0.00597084878181097,0.890772,0.00231864489722995,0.00260296113621662,0.110338,0.00152455220386814,0.0138171092811918
12,100,9.562587,0.0563425700792989,0.00589197986688109,0.903181,0.00227846525960265,0.00252271168193601,0.10556,0.00159029732205184,0.0150653402998469
12.5,100,10.268839,0.0594877232404518,0.00579303300406714,0.913984,0.00222183588896183,0.00243093521217201,0.101093,0.00165056939572899,0.0163272372541026
13,100,10.99714,0.06236884852401,0.00567136987653245,0.923662,0.00216456053367314,0.00234345521811349,0.096703,0.00171960071706114,0.0177822892470878
13.5,100,11.741013,0.0650714657299413,0.00554223606855229,0.93225,0.00211331874232608,0.00226690130579359,0.092539,0.00179311116424425,0.0193768158748663
14,100,12.500943,0.0680625020574354,0.00544458942476863,0.939792,0.00207117754487634,0.00220386803130517,0.088551,0.00186528771967103,0.0210645584992945
14.5,100,13.274546,0.0711697816657665,0.00536137218295575,0.946442,0.00200230931983522,0.00211561756540308,0.08469,0.00190351923520302,0.0224763163915813
15,100,14.062251,0.0742880162953118,0.00528279692172411,0.952303,0.00193951779945429,0.00203666039007993,0.081016,0.00193400856481866,0.0238719335047232
15.5,100,14.859856,0.0774676061868927,0.00521321378799988,0.957439,0.00188750927529034,0.00197141465439609,0.077562,0.00196685154860208,0.0253584429050576
16,100,15.672652,0.0806637515142975,0.00514678380623123,0.961967,0.00183349901008311,0.00190598950908203,0.074264,0.00199992680312116,0.0269299634159372
16.5,100,16.492415,0.0838001099694343,0.00508113032381457,0.965963,0.00178008545263502,0.0018428091475916,0.071178,0.00202975924697059,0.0285166659216414
17,100,17.318581,0.0866523238567505,0.00500343093101857,0.96946,0.00172882688782909,0.00178328851920563,0.068251,0.00205502814785314,0.0301098613625168
17.5,100,18.136201,0.0883793557724901,0.00487309088449616,0.972319,0.00164998023686481,0.00169695360973591,0.065594,0.00207131831680193,0.0315778625606295
18,100,18.926511,0.0896611477410979,0.00473733102424942,0.974794,0.00158011612698932,0.00162097440791523,0.063188,0.00209315097548112,0.0331257671627702
18.5,100,19.690925,0.0904063402006271,0.00459126933857231,0.976705,0.00150900168577665,0.00154499228096165,0.061116,0.0021006723554504,0.0343718887926304
19,100,20.427706,0.0915300045292662,0.00448067955008097,0.97809,0.00148227628117614,0.00151548045801117,0.059243,0.00210741595593497,0.0355724044348694
