DemandParameter,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0,10,12.873,0.00841033357702374,0.95407,0.00260507573708565,0.02864,0.067201912799745,0.67052,0.0405295176310376,0.32948,0.08248103727681,0.0569,0.0972842259049317,0.05194,0.0349368663273138
0.1,10,12.932,0.00847724234774526,0.95368,0.00268922923834124,0.02888,0.069754636312349,0.66812,0.0385043938790094,0.33188,0.0775146307052061,0.05727,0.098760243633931,0.05257,0.0329188552916966
0.2,10,12.996,0.00852905052189989,0.9533,0.00278672549115587,0.02911,0.0721166489678847,0.66844,0.0419690920680851,0.33156,0.0846115933827686,0.05765,0.0988229893468912,0.05317,0.032089542662056
0.3,10,13.071,0.00861529234107797,0.95276,0.002878616618555,0.02941,0.0741281143280734,0.66496,0.0442996542440338,0.33504,0.0879223319189133,0.0582,0.098098384082465,0.05381,0.0319736286093911
0.4,10,13.154,0.00878211763547487,0.95223,0.00296078781022968,0.02971,0.0741922642033702,0.66161,0.0470967867760093,0.33839,0.0920822278993928,0.05866,0.0966438219214118,0.05452,0.0301009278926776
0.5,10,13.242,0.00899738364118513,0.95155,0.00314298171407063,0.03009,0.0761767167769887,0.65724,0.0468170635895787,0.34276,0.0897714052795387,0.05925,0.0953722295281607,0.05533,0.0290918988779629
0.6,10,13.339,0.00896051378612065,0.95078,0.00337235677256579,0.03048,0.0780933794295782,0.65323,0.0495337882277109,0.34677,0.0933095610461908,0.05969,0.0929002267695737,0.05643,0.0296311653217188
0.7,10,13.445,0.0089370237632798,0.94997,0.00357718558177961,0.03093,0.0801952530283715,0.65209,0.0539994887233951,0.34791,0.101211596682012,0.06031,0.0916729313590179,0.05768,0.0288637218947359
0.8,10,13.556,0.00873968090229048,0.94913,0.00370470924162734,0.03139,0.0803648802332858,0.65117,0.059433798065269,0.34883,0.110946610916954,0.06089,0.088684262965922,0.05893,0.0311296643213084
0.9,10,13.677,0.00858523037785197,0.94838,0.00378525807329415,0.03183,0.0797394094766775,0.64498,0.0652582634905682,0.35502,0.118557475032806,0.06143,0.0834700952344345,0.06011,0.0318052288469408
1,10,13.806,0.00833519651520707,0.94747,0.00390985375279147,0.03232,0.0810287184740662,0.63486,0.074905252344444,0.36514,0.130235932802196,0.06218,0.0804928442669387,0.06162,0.0342771348268909
