parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,5,1.06096,0.013538989953464,0.0127610748317222,0.22118,0.00107425166511391,0.00485691140751383,0.02498,0.000324437729002038,0.0129878994796652
1.5,5,1.13374,0.0134195748129365,0.0118365540714242,0.27354,0.00117697959200659,0.00430276958399719,0.03424,0.000418541467479628,0.012223757811905
2,5,1.23342,0.0134721167097083,0.0109225703407665,0.32148,0.00125409371260683,0.00390100072354992,0.0428,0.000356051681641864,0.00831896452434262
2.5,5,1.35828,0.0126777915048324,0.00933370991609416,0.36608,0.00119928938959703,0.00327603089378561,0.0507,0.000463820654995011,0.00914833639043414
3,5,1.50704,0.0118398601748501,0.00785636756479593,0.40826,0.00109233738377848,0.00267559247484073,0.05822,0.000469582623187869,0.00806565824781637
3.5,5,1.67824,0.0112416893107753,0.00669849920796509,0.44734,0.0010345384284791,0.00231264458460924,0.06492,0.000461329210000841,0.00710611845349416
4,5,1.8719,0.0119527864533756,0.00638537659777531,0.48388,0.00104341240168976,0.00215634537837845,0.07128,0.000457146628555874,0.00641339265650777
5,5,2.32764,0.015071699073429,0.00647509884407769,0.54956,0.0012107661045801,0.00220315544177178,0.08246,0.000364581074659671,0.00442130820591403
6,5,2.87884,0.0186202682085946,0.00646797606278732,0.60644,0.00122809289550914,0.00202508557402075,0.0918,0.000629034816206543,0.00685223111336104
7,5,3.5206,0.0249315543999968,0.00708162086007975,0.65428,0.000954984732862259,0.00145959640041306,0.0988,0.000800966416274742,0.00810694753314516
8,5,4.24786,0.036180962941304,0.00851745654077676,0.69444,0.00107282028317888,0.0015448710949526,0.10392,0.00103602270245396,0.00996942554324441
9,5,5.05126,0.0451716263616887,0.00894264527299896,0.72882,0.00113171968260695,0.00155281095827084,0.10724,0.00150881813350715,0.0140695461908537
10,5,5.8273,0.0602450247439571,0.0103384113987536,0.75668,0.00182121866891374,0.00240685450773609,0.10802,0.00171922280115173,0.0159157822732062
11,5,6.3195,0.0655513788108229,0.0103728742480929,0.76482,0.00232687581103932,0.00304238358180921,0.10338,0.00169219639522131,0.0163687018303474
12,5,6.69826,0.0720661535934866,0.0107589364392374,0.76548,0.00263647322004226,0.00344420914986971,0.0985,0.00158384494190561,0.01607964408026
13,5,7.048,0.0872177096328493,0.0123748169172601,0.76418,0.00224794142272436,0.00294163864891041,0.0987,0.00252147734473265,0.0255468829253561
14,5,7.50158,0.0944129660366627,0.0125857440748033,0.76234,0.00241374616726782,0.0031662331338613,0.10524,0.00285487978030599,0.0271273259246104
15,5,7.79228,0.0670606316629959,0.00860603464749674,0.76254,0.00257469706179193,0.00337647475777261,0.10796,0.00217604139666505,0.0201559966345411
16,5,8.08338,0.0521520017548704,0.00645175678427469,0.76176,0.00297416680097133,0.00390433575006738,0.11294,0.0034999036786746,0.0309890532909031
17,5,8.40288,0.0340991785097527,0.00405803468688744,0.75994,0.00332657676298023,0.00437742027394298,0.12016,0.00352124241710224,0.0293046139905313
18,5,8.75002,0.0313366795790493,0.00358132662314478,0.75766,0.00348780884797318,0.00460339578171366,0.12988,0.00369676991980838,0.0284629651971695
19,5,9.11852,0.024630221286866,0.00270112049837759,0.75532,0.00344112595526524,0.00455585176516608,0.14052,0.0018275357835074,0.0130055208049203
20,5,9.4707,0.0373641498979969,0.0039452363497943,0.75334,0.00289430353625875,0.00384196184492892,0.15138,0.000780070150691593,0.00515305952365962
21,5,9.72262,0.0512739671240676,0.00527367799256452,0.75316,0.00303173418359857,0.00402535209463934,0.1566,0.00174649088173972,0.0111525599089382
22,5,9.90744,0.0367424257794718,0.0037085690934764,0.75318,0.00291993956101834,0.00387681505220312,0.16082,0.00197600663966496,0.0122870702628091
23,5,10.04028,0.032417143869255,0.00322870914648347,0.75348,0.00290939537361287,0.00386127750386588,0.16524,0.00141419127419172,0.00855840761432896
24,5,10.15232,0.0338820115435908,0.003337366389514,0.7537,0.00287392414652859,0.00381308762973145,0.167,0.00185528261998004,0.0111094767663475
25,5,10.25884,0.0487594506712287,0.00475292047358461,0.75386,0.00287566134306526,0.00381458273826077,0.16798,0.00206163678663338,0.0122731086238444
30,5,10.59282,0.0324862180599715,0.00306681488592948,0.75212,0.0029733917064524,0.00395334747972717,0.19406,0.00217339167201865,0.0111995860662612
35,5,11.6904,0.0595242996968464,0.00509172480812003,0.74656,0.0028407155718234,0.00380507336560142,0.23638,0.00227765156246516,0.00963555107227838
40,5,12.9772,0.0861480760086959,0.00663841784119039,0.73792,0.00283245431384162,0.00383843006537513,0.26458,0.0017742060308769,0.00670574507096872
45,5,14.29356,0.135936316811072,0.00951031910952006,0.72966,0.00309133695348794,0.00423668140433618,0.28466,0.00307451475195681,0.0108006560526832
50,5,15.6206,0.154364864173166,0.00988213411604968,0.7223,0.00313293600317656,0.00433744427962974,0.30504,0.00176791565409665,0.00579568467773621
55,5,17.19326,0.176405570667596,0.0102601583799463,0.71434,0.00317653058540289,0.0044468048623945,0.32206,0.00201565774872621,0.0062586404667646
60,5,18.5629,0.200869077425073,0.010820996580549,0.70596,0.00311053914297824,0.00440611244685002,0.33622,0.00205790666455017,0.00612071460516975
