parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,45,1.04768666666667,0.00709447257837061,0.0067715594786965,0.221766666666667,0.000396184733974371,0.001786493614795,0.0247466666666667,0.000200559887023373,0.00810452129674192
1.5,45,1.12039111111111,0.00705510304562111,0.0062970001954268,0.274191111111111,0.000495642493438476,0.00180765339704111,0.0339711111111111,0.000245691732796474,0.00723237258837008
2,45,1.22072888888889,0.00701094670874177,0.00574324632812054,0.322428888888889,0.000608867097744697,0.00188837637918517,0.0424533333333333,0.000286452480942972,0.00674746735889539
2.5,45,1.34548222222222,0.00701082402006776,0.0052106403966368,0.36704,0.000713040012194196,0.00194267658073833,0.0502422222222222,0.000329416253141666,0.00655656216169445
3,45,1.49415777777778,0.00699513224437671,0.00468165567814424,0.408993333333333,0.000826089205934576,0.00201981093237357,0.0577,0.000373341818085402,0.0064703954607522
3.5,45,1.66505111111111,0.00708435210066174,0.00425473551735853,0.447877777777778,0.000912349252834147,0.00203704961063468,0.0644177777777778,0.000418721703045795,0.00650009543157886
4,45,1.86017555555556,0.00722326316307614,0.00388310831281667,0.484313333333333,0.000987408121080518,0.00203877955265982,0.07074,0.000467503879311944,0.00660876278360114
5,45,2.32338666666667,0.00776508436226751,0.0033421403650422,0.549871111111111,0.00110175012258454,0.00200365158365614,0.0821044444444444,0.000558519432234961,0.00680254809607634
6,45,2.88283111111111,0.00869179542648396,0.00301502068330806,0.60642,0.0012434977621389,0.00205055532821955,0.0917977777777778,0.000641540819737489,0.0069886312639345
7,45,3.52852666666667,0.00975744569357321,0.0027653030897428,0.653937777777778,0.0013399675233346,0.00204907495616494,0.0991622222222222,0.000699632314657265,0.00705543198789344
8,45,4.25917555555556,0.0111706959587055,0.00262273668060824,0.6944,0.00139403914847279,0.00200754485667165,0.104602222222222,0.00074307581159212,0.00710382433380328
9,45,5.06503111111111,0.0129429301696428,0.00255535057647525,0.728995555555556,0.00139619413016721,0.00191522996200325,0.108137777777778,0.000784254582683555,0.00725236451867165
10,45,5.93286444444444,0.015175375224217,0.00255784964688133,0.758735555555556,0.00136639073334975,0.00180087874272514,0.109855555555556,0.000815574407620716,0.00742406156426261
11,45,6.85722444444444,0.0177031515735528,0.00258167888727857,0.784644444444444,0.00135593399254671,0.00172808716374301,0.110102222222222,0.000837265764714638,0.00760444019944268
12,45,7.83337555555556,0.0198075844616622,0.00252861417420671,0.807524444444444,0.00134109451750089,0.00166074789032984,0.109008888888889,0.00086557582777313,0.00794041510372057
13,45,8.85573111111111,0.0216003652307901,0.00243913968928986,0.828177777777778,0.00131832843180162,0.00159184231595666,0.106724444444444,0.000882344319871968,0.00826749976975774
14,45,9.91915333333333,0.0235679419368126,0.00237600338908085,0.847062222222222,0.0013090741928475,0.00154542861020672,0.103457777777778,0.000894971043578503,0.0086505921816807
15,45,11.0182688888889,0.0251571896499053,0.00228322524196832,0.864586666666667,0.0013123649689462,0.00151791025647655,0.09934,0.000887655091812243,0.00893552538566784
16,45,12.1446088888889,0.0266978455754428,0.00219832897211442,0.880811111111111,0.0013061798756544,0.001482928472606,0.0946333333333333,0.000873189893378862,0.00922708587578932
17,45,13.27372,0.0282982318344301,0.00213189910849634,0.895724444444444,0.00129720593904949,0.00144821987062557,0.0895,0.000856045736529482,0.00956475683273164
18,45,14.4168511111111,0.0304965739627576,0.00211534222887644,0.909464444444444,0.00127134209838798,0.00139790192585769,0.0841911111111111,0.000857920823787234,0.0101901591802844
19,45,15.5529466666667,0.0318972809203341,0.00205088345018869,0.921731111111111,0.00124045496479548,0.00134578832139034,0.0787844444444444,0.000875230733573807,0.0111091820186786
20,45,16.70398,0.0356586722732708,0.00213474107807066,0.932551111111111,0.00121211497908162,0.00129978396319469,0.0733977777777778,0.000875885180632756,0.0119334018978698
21,45,17.8537688888889,0.0388155619026788,0.0021740822424802,0.942057777777778,0.00114805792851573,0.00121867039962654,0.0683222222222222,0.000879431076169636,0.0128718160441157
22,45,18.9679133333333,0.0418318757219632,0.0022054020907218,0.950144444444444,0.00108942330320119,0.00114658703691962,0.0635288888888889,0.00088129848145967,0.0138724050880387
