DemandParameter,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0,10,4.702,0.0118195643906275,0.7718,0.00191953519131473,0.04376,0.0457118969130882,0.57562,0.104399577892466,0.3684,0.162671585746652,0.06062,0.0502741039064364,0.06094,0.0304678126782965
0.1,10,4.652,0.012061617851827,0.77018,0.00189561202752524,0.04386,0.0481862750596903,0.57499,0.104517654684015,0.36987,0.162852626014854,0.06064,0.0531260348155099,0.061,0.0315947207427278
0.2,10,4.617,0.0120246824033,0.76833,0.00189951028843003,0.04445,0.0497321626752124,0.57263,0.103775706613093,0.373,0.160924574321912,0.06141,0.0539621753025304,0.06184,0.0306789813574687
0.3,10,4.607,0.0128268436405884,0.7665,0.00189369587412343,0.04519,0.0562261997671679,0.56838,0.103452705268501,0.37662,0.154056049434444,0.06222,0.0572839487566655,0.06257,0.0335111538951681
0.4,10,4.598,0.0125297952914877,0.76485,0.00201281022154046,0.0465,0.0576160144687576,0.56495,0.103548280888415,0.3837,0.15325247907473,0.06381,0.0603328813721946,0.06379,0.0294763309203391
0.5,10,4.61,0.0125644986574782,0.76304,0.00192115042371497,0.04723,0.0585319669216599,0.56072,0.104378463741367,0.38802,0.154119176101492,0.06466,0.0602484382108924,0.06445,0.0289048368253371
0.6,10,4.64,0.0131031520938497,0.7609,0.00195421396472708,0.0473,0.0591041325931726,0.55251,0.103515406823,0.39833,0.144102114791839,0.06467,0.0590997010012741,0.06447,0.0272978709355742
0.7,10,4.672,0.0134246575342466,0.75895,0.00206107446620315,0.04843,0.0601431172597525,0.5434,0.107658001292913,0.40603,0.146111802859457,0.06597,0.0587270364819454,0.06552,0.0306201675759782
0.8,10,4.71,0.0142947369482559,0.757,0.00222460930289342,0.04907,0.0624611583506043,0.54008,0.113440985784328,0.40859,0.150930729416827,0.06664,0.0594091761553477,0.0658,0.0329010753703451
0.9,10,4.753,0.0150457394374994,0.75517,0.00234965168004681,0.05031,0.0574406460056923,0.53537,0.113553654376875,0.41514,0.143209448983596,0.0682,0.0529470579241327,0.067,0.0290809491152801
1,10,4.794,0.0151658675437393,0.7534,0.00244815190323392,0.0513,0.0572646416880594,0.53158,0.117453705105652,0.421,0.142674695616076,0.06938,0.0534714896961295,0.06798,0.0298976800659917
