DemandParameter,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0,10,7.52,0.0100944778704342,0.77448,0.00211089810455827,0.09785,0.0285428107691848,0.24225,0.104852668651087,0.75775,0.033521028018114,0.14063,0.0312511937583006,0.1524,0.0340159190487836
0.1,10,7.471,0.00956720354316416,0.7737,0.00198898013666327,0.09883,0.0283459378258807,0.21427,0.0284973942207414,0.78573,0.00777129123194767,0.14355,0.0245727987588112,0.15733,0.0106035283604694
0.2,10,7.446,0.00920422180041507,0.77271,0.00189267546290407,0.09939,0.0260169234692455,0.21447,0.0289873113830494,0.78553,0.00791428547900475,0.14384,0.0231576796054231,0.15735,0.00954667609130222
0.3,10,7.45,0.00862812091183811,0.77158,0.00187389611546877,0.09991,0.0232587606277561,0.21442,0.02700758432349,0.7854,0.00740512842485502,0.14416,0.0216458942316077,0.15749,0.00977732285566707
0.4,10,7.479,0.00885228444389542,0.77033,0.00195180350481386,0.10081,0.0208989709758189,0.22114,0.0702057549222284,0.77859,0.0199278526570388,0.14438,0.0223044538522884,0.1568,0.0184108210934041
0.5,10,7.538,0.00837450420631294,0.76896,0.001932311413143,0.10194,0.0203846464669621,0.23741,0.130312316702558,0.76232,0.0405153244837227,0.14427,0.0266462125641004,0.15459,0.0316281789218364
0.6,10,7.603,0.00858493188964344,0.7679,0.00209305002689605,0.10173,0.0154589063180104,0.33748,0.147238810971705,0.66219,0.0750248950523461,0.1396,0.0153844466448118,0.14307,0.0328796762201222
0.7,10,7.681,0.00884320738556969,0.76655,0.00219664618345968,0.104,0.0262045135157973,0.40922,0.068347355009869,0.59074,0.0473629885657305,0.14046,0.0259105027318295,0.13721,0.0147891406965254
0.8,10,7.801,0.00985584231115865,0.76438,0.00231116905255686,0.11005,0.0300366869718977,0.40442,0.0397431487094351,0.59542,0.0270049654951031,0.14836,0.0315344473936457,0.14141,0.021123115114213
0.9,10,7.955,0.0117317535788418,0.76163,0.0022624223517449,0.11701,0.0299785627676099,0.38038,0.0391854500835774,0.61949,0.0240023649916516,0.15756,0.0316370948785206,0.14835,0.0204121934805602
1,10,8.173,0.0136880854183953,0.75811,0.00225468639972194,0.1242,0.0284350061550291,0.36423,0.0460920302199611,0.6356,0.0263574122782451,0.16687,0.0304593562756151,0.15555,0.0204829994765267
