facility,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
buli,44.1,48,50.1,49.4,46.1,40.9,35.2,30.5,27.9,27.2,27.3,27.5,27.6,27,25.9,24.5,23.1,22.2,21.2,19.6,17.2,14.4,12,10.6,10.1,10.1,10.1,10.1,10.6,11.8,14.1,17,20.1,22.2,22.8,21.8,19.5,16.8,14.3,12.6,12.1,13.1,15.7,19.7,24.3,29.2,34.2,39.4
chibale,132.6,151.9,170.5,185.6,195.6,201,202.4,199.2,190.3,176.3,160.4,147.4,139.9,137.1,135.7,132.9,126.8,115.9,100.9,84.4,69.8,59.6,54.2,52,51.2,51,51.3,52.3,54.1,56.7,60.2,64,66.7,67.4,65.4,60.5,53.6,46,38.9,34,32.7,36,43.6,54.4,67.4,81.8,97.4,114.2
