facility,accessibility_month_1,accessibility_month_2,accessibility_month_3,accessibility_month_4,accessibility_month_5,accessibility_month_6,accessibility_month_7,accessibility_month_8,accessibility_month_9,accessibility_month_10,accessibility_month_11,accessibility_month_12
mwasha,1,1,1,1,1,1,1,1,1,1,1,1
nkolemfumu,1,1,1,1,1,1,1,1,1,1,1,1
tazara,1,1,1,1,1,1,1,1,1,1,1,1
zns chishimba,1,1,1,1,1,1,1,1,1,1,1,1
chibende,1,1,1,1,1,1,1,1,1,1,1,1
kabange,1,1,1,1,1,1,1,1,1,1,1,1
kapalala,1,1,1,1,1,1,1,1,1,1,1,1
lungo mukuta,1,1,1,1,1,1,1,1,1,1,1,1
lwela,1,1,1,1,1,1,1,1,1,1,1,1
milenge east 7,1,1,1,1,1,1,1,1,1,1,1,1
mulumbi,0.5,0.5,0.5,1,1,1,1,1,1,1,0.5,0.5
sokontwe,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75
chalata,1,1,1,1,1,1,1,1,1,1,1,1
chembe,0,0,0,0,0.75,1,1,1,1,1,0.75,0
chengelo,1,1,1,1,1,1,1,1,1,1,1,1
chibefwe,1,1,1,1,1,1,1,1,1,1,1,1
chikupili,1,1,1,1,1,1,1,1,1,1,1,1
chimika,1,1,1,1,1,1,1,1,1,1,1,1
chingombe,0,0,0,0,0.25,1,1,1,1,1,0.75,0
fiwila mission,1,1,1,1,1,1,1,1,1,1,1,1
kakushi,1,1,1,1,1,1,1,1,1,1,1,1
kampelembe,1,1,1,1,1,1,1,1,1,1,1,1
kaundula,1,1,1,1,1,1,1,1,1,1,1,1
luanshimba,1,1,1,1,1,1,1,1,1,1,1,1
masansa,1,1,1,1,1,1,1,1,1,1,1,1
mboroma,1,1,1,1,1,1,1,1,1,1,1,1
mboshya,0,0,0,0,0.25,1,1,1,1,1,0.75,0
miloso,1,1,1,1,1,1,1,1,1,1,1,1
mkushi coppermine,1,1,1,1,1,1,1,1,1,1,1,1
moffat,1,1,1,1,1,1,1,1,1,1,1,1
munsakamba,1,1,1,1,1,1,1,1,1,1,1,1
musofu,1,1,1,1,1,1,1,1,1,1,1,1
nkolonga,1,1,1,1,1,1,1,1,1,1,1,1
nkumbi,1,1,1,1,1,1,1,1,1,1,1,1
nshinso,1,1,1,1,1,1,1,1,1,1,1,1
old mkushi,1,1,1,1,1,1,1,1,1,1,1,1
twatasha,1,1,1,1,1,1,1,1,1,1,1,1
boma,1,1,1,1,1,1,1,1,1,1,1,1
jivundu,0.25,0.25,0.25,0.75,1,1,1,1,1,1,0.75,0.5
kabanda,0.25,0.25,0.25,0.75,1,1,1,1,1,1,1,0.75
kabipupu,0.25,0.25,0.5,1,1,1,1,1,1,1,0.75,0.5
kalengwa,1,1,1,1,1,1,1,1,1,1,1,1
kaminzekenzeke,1,1,1,1,1,1,1,1,1,1,1,1
kashima,1,1,1,1,1,1,1,1,1,1,1,1
kinkonge,1,1,1,1,1,1,1,1,1,1,1,1
lubilo,1,1,1,1,1,1,1,1,1,1,1,1
matushi,1,1,1,1,1,1,1,1,1,1,1,1
miluji,0,0,0,0.25,0.25,0.75,1,1,1,1,0.75,0.5
mufumbwe,1,1,1,1,1,1,1,1,1,1,1,1
munyambala,0.25,0.25,0.25,0.75,1,1,1,1,1,1,0.75,0.75
mushima,0.25,0.25,0.25,0.75,1,1,1,1,1,1,1,0.75
chimba,1,1,1,1,1,1,1,1,1,1,1,1
chitimukulu,1,1,1,1,1,1,1,1,1,1,1,1
kalulu,0,0,0,1,1,1,1,1,1,1,1,0.5
kapolyo,1,1,1,1,1,1,1,1,1,1,1,1
kayambi mission,1,1,1,1,1,1,1,1,1,1,1,1
makasa,0,0,0,1,1,1,1,1,1,1,1,0.5
malole,1,1,1,1,1,1,1,1,1,1,1,1
mumba,0,0,0,1,1,1,1,1,1,1,1,0.5
mungwi baptist,1,1,1,1,1,1,1,1,1,1,1,1
ndasa,1,1,1,1,1,1,1,1,1,1,1,1
ngoli,1,1,1,1,1,1,1,1,1,1,1,1
