parameter,reps,inv_mean,inv_amoe,inv_rmoe,serv_mean,serv_amoe,serv_rmoe,sdsl_mean,sdsl_amoe,sdsl_rmoe
1,400,1.0650555,0.00209840401190332,0.00197022973159926,0.227369,0.000151931538321844,0.000668215712440326,0.02256775,8.4510102551904e-05,0.0037447287634746
1.5,400,1.16093825,0.00212634290904946,0.00183157278955143,0.284377,0.000189175203523269,0.00066522680639879,0.0307995,0.000112681032728859,0.00365853448039282
2,400,1.2907465,0.00217039724489611,0.0016815054272052,0.337449,0.000225207142512391,0.000667381270984331,0.038575,0.000143466538674697,0.00371915848800251
2.5,400,1.4508475,0.00223238816976939,0.00153867871693571,0.3872605,0.000259397598184447,0.000669827153000233,0.0460855,0.000176454292814404,0.00382884622743389
3,400,1.63944475,0.0023204631022734,0.00141539573216688,0.43459175,0.000292339165177181,0.000672675367576999,0.0534,0.000211641653446774,0.00396332684357254
3.5,400,1.85408475,0.00244223216222481,0.00131721711330877,0.47930375,0.000323049042024011,0.000673996483490921,0.06049975,0.000249338428706496,0.00412131337247669
4,400,2.09574175,0.00259922450866482,0.00124024084010581,0.521879,0.0003539777864772,0.000678275589700295,0.066958,0.000285857061471258,0.00426919952016574
5,400,2.656364,0.00305377106816439,0.00114960565199814,0.59942375,0.000406577081932358,0.000678279901209049,0.076204,0.000321304134743873,0.00421636836312887
6,400,3.325809,0.00363530826730993,0.00109305984417924,0.66778725,0.000445737689082291,0.000667484575487614,0.079648,0.000327859832181215,0.00411635988576255
7,400,4.103462,0.00441148997706766,0.00107506539041123,0.72670325,0.000473304267021439,0.000651303358037052,0.079129,0.000318590905785339,0.00402622181229813
8,400,4.98558825,0.0053467025129469,0.00107243162588625,0.7770535,0.00048858013828831,0.000628759973783414,0.07613175,0.00030747610305946,0.00403873683528173
9,400,5.95855875,0.00645571941701867,0.0010834363959269,0.819349,0.000494416368519135,0.000603425852132772,0.07182875,0.000301608881811725,0.00419899945094026
10,400,7.01608475,0.00765519721030041,0.00109109246582297,0.85468375,0.000493883594540394,0.000577855369942852,0.06694,0.000305015733847841,0.00455655413576099
11,400,8.1523305,0.00889965774697613,0.00109167038149105,0.88379325,0.000486637594817205,0.000550623796704947,0.06190175,0.000313697032274605,0.00506766015943984
12,400,9.365661,0.010118713443006,0.00108040569085364,0.90739325,0.000476146848852253,0.000524741449037947,0.057017,0.000326885106614412,0.00573311655496453
13,400,10.63951625,0.0112525710617794,0.00105762055316936,0.92599575,0.000461739201230122,0.000498640734830719,0.052638,0.000344341670713078,0.00654169365692233
14,400,11.9771475,0.0123610370529067,0.00103205183478844,0.94066525,0.000441019566135149,0.000468837948606211,0.04875125,0.00036317141142847,0.00744947896573873
15,400,13.36791475,0.0134451440515022,0.00100577721379486,0.95202,0.000414090128336773,0.000434959484398198,0.045421,0.000382013338133999,0.00841050038823448
16,400,14.8054935,0.0144718970396367,0.000977468062083625,0.960745,0.000387189296829015,0.000403009432085533,0.04259275,0.000398921364842835,0.00936594525694713
17,400,16.27984425,0.0154612245808641,0.000949715755472546,0.96746125,0.000359547491007063,0.000371640198516543,0.04020475,0.000414954197804334,0.010321024202472
18,400,17.76821425,0.0164166029813206,0.000923930944907453,0.97248675,0.000336233244317409,0.000345745835938031,0.0381745,0.000428568923867869,0.0112265759569312
19,400,19.2037895,0.0186196806575847,0.000969583667722703,0.9762075,0.000317469019624046,0.000325206495160143,0.03643875,0.000439185254891413,0.0120526981548877
