DemandParameter,reps,inv_mean,inv_rmoe,serv_mean,serv_rmoe,gini_mean,gini_rmoe,minsl_mean,minsl_rmoe,maxmindiffsl_mean,maxmindiffsl_rmoe,wgtdstddev_serv_mean,wgtdstddev_serv_rmoe,stddev_serv_mean,stddev_serv_rmoe
0,10,9.153,0.00364033650169344,0.94442,0.00200659890781721,0.03493,0.0321367358724469,0.38328,0.137323059176386,0.61672,0.0853437250634411,0.07399,0.023845801180032,0.08856,0.0181133274937346
0.1,10,9.117,0.00384640039846827,0.94311,0.00199924625305407,0.03609,0.0307477482386206,0.37786,0.136866959770727,0.62214,0.0831268676165604,0.07664,0.0218844284062987,0.09159,0.0170675313846128
0.2,10,9.095,0.00401566175178631,0.94177,0.0020135004060122,0.03726,0.0305642990132201,0.3762,0.138396763899716,0.6238,0.0834640310661642,0.07921,0.0218113959756065,0.09449,0.0170839481584887
0.3,10,9.082,0.00431383133334908,0.94035,0.0020467633023491,0.03842,0.0308705738919587,0.37974,0.139750971880145,0.62026,0.085559336506894,0.08169,0.02174275557572,0.09724,0.0163811308427309
0.4,10,9.08,0.00459598973104782,0.93895,0.00206862435467633,0.03954,0.0298903736227571,0.38331,0.140089857950071,0.61669,0.0870742892715007,0.08399,0.0212415593317644,0.09987,0.0157739701753566
0.5,10,9.087,0.00494004936534267,0.9375,0.00208717931366891,0.04072,0.0294258637145833,0.38816,0.141290651631609,0.61184,0.0896367993876266,0.08608,0.0212645561185635,0.10204,0.0157751327035628
0.6,10,9.107,0.00544513206719023,0.93594,0.00210626239142962,0.04183,0.0293537402877941,0.39383,0.143646208133614,0.60617,0.0933272615755667,0.08792,0.0215493813541814,0.10388,0.0158305772272863
0.7,10,9.136,0.00570484450136473,0.93423,0.00209939427443772,0.04287,0.0290921940835724,0.39912,0.143382983192538,0.60088,0.0952386770267038,0.08962,0.0218842078148931,0.10545,0.0162894268862111
0.8,10,9.167,0.00664037282191308,0.93253,0.00215007521627052,0.04393,0.0279900724337611,0.40456,0.142689541042203,0.59544,0.0969476029894424,0.09116,0.0214676651934846,0.10679,0.0164217035878533
0.9,10,9.209,0.00757120734868893,0.93069,0.00216400295089657,0.04494,0.0260321835928051,0.40623,0.136782382819592,0.59377,0.0935801865584365,0.0926,0.0214071728249051,0.10801,0.0161571514489663
1,10,9.261,0.00812635947040886,0.92867,0.00228313129727673,0.0459,0.0247111954144929,0.40901,0.130712427125705,0.59099,0.0904629347682442,0.0939,0.0216228444895899,0.10909,0.0170162814934642
